,child_id,parent_id,child_context,parent_context
949,ХУДОЖЕСТВЕННОЕ ИЗДЕЛИЕ,ИЗДЕЛИЕ,"Корневому узлу соответствует конструкторское имя ""Изделие"", которое отсутствует в описании, должно","Корневому узлу соответствует конструкторское имя ""Изделие"", которое отсутствует в описании, должно"
950,РЕЗНОЕ ИЗДЕЛИЕ,ИЗДЕЛИЕ,"Корневому узлу соответствует конструкторское имя ""Изделие"", которое отсутствует в описании, должно","Корневому узлу соответствует конструкторское имя ""Изделие"", которое отсутствует в описании, должно"
951,ПЛЕТЕНОЕ ИЗДЕЛИЕ,ИЗДЕЛИЕ,"Корневому узлу соответствует конструкторское имя ""Изделие"", которое отсутствует в описании, должно","Корневому узлу соответствует конструкторское имя ""Изделие"", которое отсутствует в описании, должно"
952,СЕРЕБРЯНОЕ ИЗДЕЛИЕ,ИЗДЕЛИЕ,"Корневому узлу соответствует конструкторское имя ""Изделие"", которое отсутствует в описании, должно","Корневому узлу соответствует конструкторское имя ""Изделие"", которое отсутствует в описании, должно"
953,ЛЬВИЦА,ЛЕВ (ЖИВОТНОЕ)," В переводе (бирм) ― «лев», животное охранитель, символ мощи, добродетели"," В переводе (бирм) ― «лев», животное охранитель, символ мощи, добродетели"
954,ЛЬВЕНОК,ЛЕВ (ЖИВОТНОЕ)," В переводе (бирм) ― «лев», животное охранитель, символ мощи, добродетели"," В переводе (бирм) ― «лев», животное охранитель, символ мощи, добродетели"
955,ПОЛОТЕНЦЕ,БЕЛЬЕ,устройство рассказать…  Я останусь в полотенце.  Белье… ,устройство рассказать…  Я останусь в белье.  Белье… 
956,ПОСТЕЛЬНОЕ БЕЛЬЕ,БЕЛЬЕ,устройство рассказать…  Я останусь в постельное белье.  Белье… ,устройство рассказать…  Я останусь в белье.  Белье… 
957,НАТЕЛЬНОЕ БЕЛЬЕ,БЕЛЬЕ,устройство рассказать…  Я останусь в нательное белье.  Белье… ,устройство рассказать…  Я останусь в белье.  Белье… 
958,СТОЛОВОЕ БЕЛЬЕ,БЕЛЬЕ,устройство рассказать…  Я останусь в столовое белье.  Белье… ,устройство рассказать…  Я останусь в белье.  Белье… 
959,НОСОВОЙ ПЛАТОК,БЕЛЬЕ,устройство рассказать…  Я останусь в носовой платок.  Белье… ,устройство рассказать…  Я останусь в белье.  Белье… 
961,РАСОВАЯ ДИСКРИМИНАЦИЯ,НАЦИОНАЛИЗМ,"быстрых решений.  Таковыми могут показаться расовая дискриминация, религия.  Это ошибки, которые впоследствии","быстрых решений.  Таковыми могут показаться национализм, религия.  Это ошибки, которые впоследствии"
962,ФАШИЗМ,НАЦИОНАЛИЗМ,"быстрых решений.  Таковыми могут показаться фашизм, религия.  Это ошибки, которые впоследствии","быстрых решений.  Таковыми могут показаться национализм, религия.  Это ошибки, которые впоследствии"
963,СИОНИЗМ,НАЦИОНАЛИЗМ,"быстрых решений.  Таковыми могут показаться сионизм, религия.  Это ошибки, которые впоследствии","быстрых решений.  Таковыми могут показаться национализм, религия.  Это ошибки, которые впоследствии"
964,АНТИСЕМИТИЗМ,НАЦИОНАЛИЗМ,"быстрых решений.  Таковыми могут показаться антисемитизм, религия.  Это ошибки, которые впоследствии","быстрых решений.  Таковыми могут показаться национализм, религия.  Это ошибки, которые впоследствии"
965,ШОВИНИЗМ,НАЦИОНАЛИЗМ,"быстрых решений.  Таковыми могут показаться шовинизм, религия.  Это ошибки, которые впоследствии","быстрых решений.  Таковыми могут показаться национализм, религия.  Это ошибки, которые впоследствии"
966,ФРАХТОВАТЕЛЬ,АРЕНДАТОР,я звал его папенька) был фрахтователь у графа Зомерблат. ,я звал его папенька) был арендатор у графа Зомерблат. 
967,АРЕНДАТОР ПОМЕЩЕНИЯ,АРЕНДАТОР,я звал его папенька) был арендатор помещения у графа Зомерблат. ,я звал его папенька) был арендатор у графа Зомерблат. 
968,ЗИМНЯЯ ШИНА,АВТОМОБИЛЬНАЯ ШИНА, За свою историю зимняя шина претерпела массу преобразований и, За свою историю автомобильная шина претерпела массу преобразований и
969,ЛЕТНЯЯ ШИНА,АВТОМОБИЛЬНАЯ ШИНА, За свою историю летняя шина претерпела массу преобразований и, За свою историю автомобильная шина претерпела массу преобразований и
970,ВЫСОКИЙ ЧЕЛОВЕК,ЧЕЛОВЕК ПО ВНЕШНОСТИ,"в воде, к берегу подошёл человек, по внешности совершенно схожий с","в воде, к берегу подошёл человек, по внешности совершенно схожий с"
971,БЛОНДИН,ЧЕЛОВЕК ПО ВНЕШНОСТИ,"в воде, к берегу подошёл человек, по внешности совершенно схожий с","в воде, к берегу подошёл человек, по внешности совершенно схожий с"
972,БРЮНЕТ,ЧЕЛОВЕК ПО ВНЕШНОСТИ,"в воде, к берегу подошёл человек, по внешности совершенно схожий с","в воде, к берегу подошёл человек, по внешности совершенно схожий с"
973,ШАТЕН,ЧЕЛОВЕК ПО ВНЕШНОСТИ,"в воде, к берегу подошёл человек, по внешности совершенно схожий с","в воде, к берегу подошёл человек, по внешности совершенно схожий с"
974,ГОРБАТЫЙ ЧЕЛОВЕК,ЧЕЛОВЕК ПО ВНЕШНОСТИ,"в воде, к берегу подошёл человек, по внешности совершенно схожий с","в воде, к берегу подошёл человек, по внешности совершенно схожий с"
977,ГОРНОЛЫЖНЫЙ КУРОРТ,ЗИМНИЙ КУРОРТ,А при путешествии вдвоем на горнолыжный курорт спинку возможно сложить и,А при путешествии вдвоем на зимний курорт спинку возможно сложить и
979,ДАГЕСТАНЦЫ,КАВКАЗЦЫ,"В доме напротив жили какие-то дагестанцы.  То ли торговали, то ли","В доме напротив жили какие-то кавказцы.  То ли торговали, то ли"
980,ОСЕТИНЫ,КАВКАЗЦЫ,"В доме напротив жили какие-то осетины.  То ли торговали, то ли","В доме напротив жили какие-то кавказцы.  То ли торговали, то ли"
981,АЗЕРБАЙДЖАНЦЫ,КАВКАЗЦЫ,"В доме напротив жили какие-то азербайджанцы.  То ли торговали, то ли","В доме напротив жили какие-то кавказцы.  То ли торговали, то ли"
982,АРМЯНЕ,КАВКАЗЦЫ,"В доме напротив жили какие-то армяне.  То ли торговали, то ли","В доме напротив жили какие-то кавказцы.  То ли торговали, то ли"
983,СЕВЕРОКАВКАЗСКИЕ НАРОДЫ,КАВКАЗЦЫ,"В доме напротив жили какие-то северокавказские народы.  То ли торговали, то ли","В доме напротив жили какие-то кавказцы.  То ли торговали, то ли"
984,ГРУЗИНЫ,КАВКАЗЦЫ,"В доме напротив жили какие-то грузины.  То ли торговали, то ли","В доме напротив жили какие-то кавказцы.  То ли торговали, то ли"
985,АДЖАРЦЫ,КАВКАЗЦЫ,"В доме напротив жили какие-то аджарцы.  То ли торговали, то ли","В доме напротив жили какие-то кавказцы.  То ли торговали, то ли"
986,"ДЖИГИТ (ИСКУСНЫЙ НАЕЗДНИК, УДАЛЕЦ)",КАВКАЗЦЫ,"В доме напротив жили какие-то джигит (искусный наездник, удалец).  То ли торговали, то ли","В доме напротив жили какие-то кавказцы.  То ли торговали, то ли"
987,ПРАВА ГРАЖДАН,ПРАВА ЧЕЛОВЕКА,"контроль за деятельностью сект, нарушает права граждан и должна быть признана","контроль за деятельностью сект, нарушает права человека и должна быть признана"
988,ЗАЩИТА ЧЕСТИ И ДОБРОГО ИМЕНИ,ПРАВА ЧЕЛОВЕКА,"контроль за деятельностью сект, нарушает защита чести и доброго имени и должна быть признана","контроль за деятельностью сект, нарушает права человека и должна быть признана"
991,БЕСПРЕКОСЛОВНЫЙ,БЕЗОГОВОРОЧНЫЙ,"это, где светит быстрый и беспрекословный успех, дорога каждая минута, и","это, где светит быстрый и безоговорочный успех, дорога каждая минута, и"
992,БЕСКОМПРОМИССНЫЙ,БЕЗОГОВОРОЧНЫЙ,"это, где светит быстрый и бескомпромиссный успех, дорога каждая минута, и","это, где светит быстрый и безоговорочный успех, дорога каждая минута, и"
993,"РЕШИТЕЛЬНЫЙ (ЭНЕРГИЧНЫЙ, ЖЕСТКИЙ)",БЕЗОГОВОРОЧНЫЙ,"это, где светит быстрый и решительный (энергичный, жесткий) успех, дорога каждая минута, и","это, где светит быстрый и безоговорочный успех, дорога каждая минута, и"
994,ШКОЛА-ИНТЕРНАТ,ИНТЕРНАТ," Итак, в школа-интернат для слепоглухонемых прибывает красавица-практикантка"," Итак, в интернат для слепоглухонемых прибывает красавица-практикантка"
995,ДЕТСКИЙ ДОМ,ИНТЕРНАТ," Итак, в детский дом для слепоглухонемых прибывает красавица-практикантка"," Итак, в интернат для слепоглухонемых прибывает красавица-практикантка"
996,ДОМ-ИНТЕРНАТ ДЛЯ ИНВАЛИДОВ И ПРЕСТАРЕЛЫХ,ИНТЕРНАТ," Итак, в дом-интернат для инвалидов и престарелых для слепоглухонемых прибывает красавица-практикантка"," Итак, в интернат для слепоглухонемых прибывает красавица-практикантка"
997,ДОМ ВЕТЕРАНОВ,ИНТЕРНАТ," Итак, в дом ветеранов для слепоглухонемых прибывает красавица-практикантка"," Итак, в интернат для слепоглухонемых прибывает красавица-практикантка"
998,ОМЛЕТ,ЯИЧНИЦА, Её повседневная еда была― омлет с колбасой и магазинные пельмени, Её повседневная еда была― яичница с колбасой и магазинные пельмени
999,СБОР ГРИБОВ,ПОБОЧНОЕ ЛЕСОПОЛЬЗОВАНИЕ," А вот за «сбор грибов» (сенокошение, пастьбу и прогон"," А вот за «побочное лесопользование» (сенокошение, пастьбу и прогон"
1000,ГОСУДАРСТВЕННАЯ ТАЙНА,СЕКРЕТНАЯ ИНФОРМАЦИЯ,нам в районной ГИБДД.  ― Это государственная тайна.  Для того чтобы получить,нам в районной ГИБДД.  ― Это секретная информация.  Для того чтобы получить
1001,КОММЕРЧЕСКАЯ ТАЙНА,СЕКРЕТНАЯ ИНФОРМАЦИЯ,нам в районной ГИБДД.  ― Это коммерческая тайна.  Для того чтобы получить,нам в районной ГИБДД.  ― Это секретная информация.  Для того чтобы получить
1002,ЗАПРАВИТЬ (ВСТАВИТЬ ВНУТРЬ),ВСТАВИТЬ ВНУТРЬ,"принципе и К. С. можно заправить (вставить внутрь), но отделив скорлупки от","принципе и К. С. можно вставить внутрь, но отделив скорлупки от"
1003,ВКЛЕИТЬ,ВСТАВИТЬ ВНУТРЬ,"принципе и К. С. можно вклеить, но отделив скорлупки от","принципе и К. С. можно вставить внутрь, но отделив скорлупки от"
1004,"ОБРАМИТЬ, ВСТАВИТЬ В РАМУ",ВСТАВИТЬ ВНУТРЬ,"принципе и К. С. можно обрамить, вставить в раму, но отделив скорлупки от","принципе и К. С. можно вставить внутрь, но отделив скорлупки от"
1005,"ОПРАВИТЬ, ВСТАВИТЬ В ОПРАВУ",ВСТАВИТЬ ВНУТРЬ,"принципе и К. С. можно оправить, вставить в оправу, но отделив скорлупки от","принципе и К. С. можно вставить внутрь, но отделив скорлупки от"
1006,ВКЛИНИТЬ,ВСТАВИТЬ ВНУТРЬ,"принципе и К. С. можно вклинить, но отделив скорлупки от","принципе и К. С. можно вставить внутрь, но отделив скорлупки от"
1007,ВМАЗАТЬ ВНУТРЬ,ВСТАВИТЬ ВНУТРЬ,"принципе и К. С. можно вмазать внутрь, но отделив скорлупки от","принципе и К. С. можно вставить внутрь, но отделив скорлупки от"
1008,СТЕКОЛЬНЫЕ РАБОТЫ,ВСТАВИТЬ ВНУТРЬ,"принципе и К. С. можно стекольные работы, но отделив скорлупки от","принципе и К. С. можно вставить внутрь, но отделив скорлупки от"
1009,ВРЕЗАТЬ (ВСТАВИТЬ),ВСТАВИТЬ ВНУТРЬ,"принципе и К. С. можно врезать (вставить), но отделив скорлупки от","принципе и К. С. можно вставить внутрь, но отделив скорлупки от"
1010,ВСТРОИТЬ,ВСТАВИТЬ ВНУТРЬ,"принципе и К. С. можно встроить, но отделив скорлупки от","принципе и К. С. можно вставить внутрь, но отделив скорлупки от"
1011,ВЫПАРИВАНИЕ ЖИДКОСТИ,СГУСТИТЬ,"краски можно было немного и выпаривание жидкости, дабы миссионерская деятельность выглядела в","краски можно было немного и сгустить, дабы миссионерская деятельность выглядела в"
1012,КЛАВИША МУЗЫКАЛЬНОГО ИНСТРУМЕНТА,КЛАВИША," Эта клавиша музыкального инструмента ― налево, эта― направо, эта― подпрыгнуть"," Эта клавиша ― налево, эта― направо, эта― подпрыгнуть"
1013,ПРЯМОУГОЛЬНИК (ГЕОМЕТРИЧЕСКАЯ ФИГУРА),ЧЕТЫРЕХУГОЛЬНИК,"на подоконник, можно увидеть небольшой четырёхугольник со звёздным рисунком. ","на подоконник, можно увидеть небольшой четырёхугольник со звёздным рисунком. "
1014,РОМБ (ГЕОМЕТРИЧЕСКАЯ ФИГУРА),ЧЕТЫРЕХУГОЛЬНИК,"на подоконник, можно увидеть небольшой четырёхугольник со звёздным рисунком. ","на подоконник, можно увидеть небольшой четырёхугольник со звёздным рисунком. "
1015,ТРАПЕЦИЯ (ГЕОМЕТРИЧЕСКАЯ ФИГУРА),ЧЕТЫРЕХУГОЛЬНИК,"на подоконник, можно увидеть небольшой четырёхугольник со звёздным рисунком. ","на подоконник, можно увидеть небольшой четырёхугольник со звёздным рисунком. "
1018,НАЛЕТАТЬ В ОБЩЕЙ СЛОЖНОСТИ,ПОКРЫТЬ РАССТОЯНИЕ,"Вместимости топливного бака хватает, чтобы налетать в общей сложности 650 км. ","Вместимости топливного бака хватает, чтобы покрыть расстояние 650 км. "
1019,ПРОБЕЖАТЬ РАССТОЯНИЕ,ПОКРЫТЬ РАССТОЯНИЕ,"Вместимости топливного бака хватает, чтобы пробежать расстояние 650 км. ","Вместимости топливного бака хватает, чтобы покрыть расстояние 650 км. "
1021,НЕКРОПОЛЬ,КЛАДБИЩЕ,"говорит Задорнов, оптимист и на некрополь видит плюсики; так и здесь","говорит Задорнов, оптимист и на кладбище видит плюсики; так и здесь"
1022,ДРЕВНИЙ МОГИЛЬНИК,КЛАДБИЩЕ,"говорит Задорнов, оптимист и на древний могильник видит плюсики; так и здесь","говорит Задорнов, оптимист и на кладбище видит плюсики; так и здесь"
1023,ЦЕРКОВНОЕ КЛАДБИЩЕ,КЛАДБИЩЕ,"говорит Задорнов, оптимист и на церковное кладбище видит плюсики; так и здесь","говорит Задорнов, оптимист и на кладбище видит плюсики; так и здесь"
1024,ВОДОЛЕЧЕНИЕ,ВОДНЫЕ ПРОЦЕДУРЫ,"на плече полотенце, идем принимать водолечение. ","на плече полотенце, идем принимать водные процедуры. "
1025,ВАННА (МЫТЬЕ),ВОДНЫЕ ПРОЦЕДУРЫ,"на плече полотенце, идем принимать ванна (мытье). ","на плече полотенце, идем принимать водные процедуры. "
1026,ЭЛЕКТРИЧЕСКОЕ ОТОПЛЕНИЕ,ОТОПЛЕНИЕ,  ― Отопление прошлую зиму не работало в,  ― Отопление прошлую зиму не работало в
1027,ЦЕНТРАЛЬНОЕ ОТОПЛЕНИЕ,ОТОПЛЕНИЕ,  ― Отопление прошлую зиму не работало в,  ― Отопление прошлую зиму не работало в
1028,ПЕЧНОЕ ОТОПЛЕНИЕ,ОТОПЛЕНИЕ,  ― Отопление прошлую зиму не работало в,  ― Отопление прошлую зиму не работало в
1029,ВОЗДУШНОЕ ОТОПЛЕНИЕ,ОТОПЛЕНИЕ,  ― Отопление прошлую зиму не работало в,  ― Отопление прошлую зиму не работало в
1031,ПРАВО (ВОЗМОЖНОСТЬ),ВОЗМОЖНОСТЬ ДЛЯ ОСУЩЕСТВЛЕНИЯ,"Самарской области, которая дает нам право (возможность) других телекоммуникационных проектов","Самарской области, которая дает нам возможность для осуществления других телекоммуникационных проектов"
1032,ПОТЕНЦИЯ,ВОЗМОЖНОСТЬ ДЛЯ ОСУЩЕСТВЛЕНИЯ,"Самарской области, которая дает нам потенция других телекоммуникационных проектов","Самарской области, которая дает нам возможность для осуществления других телекоммуникационных проектов"
1033,ШАНС,ВОЗМОЖНОСТЬ ДЛЯ ОСУЩЕСТВЛЕНИЯ,"Самарской области, которая дает нам шанс других телекоммуникационных проектов","Самарской области, которая дает нам возможность для осуществления других телекоммуникационных проектов"
1034,"РИСК (ВОЗМОЖНОСТЬ ОПАСНОСТИ, НЕУДАЧИ)",ВОЗМОЖНОСТЬ ДЛЯ ОСУЩЕСТВЛЕНИЯ,"Самарской области, которая дает нам риск (возможность опасности, неудачи) других телекоммуникационных проектов","Самарской области, которая дает нам возможность для осуществления других телекоммуникационных проектов"
1035,ВЕРОЯТНОСТЬ (ВОЗМОЖНОСТЬ ИСПОЛНИМОСТИ ЧЕГО-Л.),ВОЗМОЖНОСТЬ ДЛЯ ОСУЩЕСТВЛЕНИЯ,"Самарской области, которая дает нам вероятность (возможность исполнимости чего-л.) других телекоммуникационных проектов","Самарской области, которая дает нам возможность для осуществления других телекоммуникационных проектов"
1036,ПОТЕНЦИАЛ (РЕСУРС),ВОЗМОЖНОСТЬ ДЛЯ ОСУЩЕСТВЛЕНИЯ,"Самарской области, которая дает нам потенциал (ресурс) других телекоммуникационных проектов","Самарской области, которая дает нам возможность для осуществления других телекоммуникационных проектов"
1037,ДОСТУПНЫЙ (СООТВЕТСТВУЮЩИЙ ВОЗМОЖНОСТЯМ),ВОЗМОЖНОСТЬ ДЛЯ ОСУЩЕСТВЛЕНИЯ,"Самарской области, которая дает нам доступный (соответствующий возможностям) других телекоммуникационных проектов","Самарской области, которая дает нам возможность для осуществления других телекоммуникационных проектов"
1038,СУШКА ПИЩЕВЫХ ПРОДУКТОВ,СУШИТЬ ВПРОК,Уже весной надо заготовлять и сушка пищевых продуктов такую богатую каротином зелень,Уже весной надо заготовлять и сушить впрок такую богатую каротином зелень
1039,ОПРАВДАТЬ (ВОЗМЕСТИТЬ),ОПЛАТА РАСХОДОВ,  ― если оправдать (возместить) на строительство или приобретение,  ― если оплата расходов на строительство или приобретение
1042,РАДИОАКТИВНОЕ ЗАГРЯЗНЕНИЕ,ТЕХНОГЕННОЕ ЗАГРЯЗНЕНИЕ,"влияния экологических факторов города, включая радиоактивное загрязнение, на жизнедеятельность древесных растений","влияния экологических факторов города, включая техногенное загрязнение, на жизнедеятельность древесных растений"
1043,ТЕХНОГЕННЫЙ ШУМ,ТЕХНОГЕННОЕ ЗАГРЯЗНЕНИЕ,"влияния экологических факторов города, включая техногенный шум, на жизнедеятельность древесных растений","влияния экологических факторов города, включая техногенное загрязнение, на жизнедеятельность древесных растений"
1044,ВЫБРОС ВЫХЛОПНЫХ ГАЗОВ,ТЕХНОГЕННОЕ ЗАГРЯЗНЕНИЕ,"влияния экологических факторов города, включая выброс выхлопных газов, на жизнедеятельность древесных растений","влияния экологических факторов города, включая техногенное загрязнение, на жизнедеятельность древесных растений"
1047,ПРОДУКТЫ ПИТАНИЯ,ПРОДУКЦИЯ ПИЩЕВОЙ ПРОМЫШЛЕННОСТИ,"рыба, а оставшиеся 50 процентов ― продукты питания, несырьевой экспорт. ","рыба, а оставшиеся 50 процентов ― продукция пищевой промышленности, несырьевой экспорт. "
1048,ПИЩЕВКУСОВЫЕ ПРОДУКТЫ,ПРОДУКЦИЯ ПИЩЕВОЙ ПРОМЫШЛЕННОСТИ,"рыба, а оставшиеся 50 процентов ― пищевкусовые продукты, несырьевой экспорт. ","рыба, а оставшиеся 50 процентов ― продукция пищевой промышленности, несырьевой экспорт. "
1049,МАСЛОЖИРОВАЯ ПРОДУКЦИЯ,ПРОДУКЦИЯ ПИЩЕВОЙ ПРОМЫШЛЕННОСТИ,"рыба, а оставшиеся 50 процентов ― масложировая продукция, несырьевой экспорт. ","рыба, а оставшиеся 50 процентов ― продукция пищевой промышленности, несырьевой экспорт. "
1052,САНИТАРНЫЙ ДОСМОТР,ДОСМОТР,"  ― На санитарный досмотр, ― объяснила Света и потянула к","  ― На досмотр, ― объяснила Света и потянула к"
1053,ЗАЧИСТКА НАСЕЛЕННОГО ПУНКТА,ДОСМОТР,"  ― На зачистка населенного пункта, ― объяснила Света и потянула к","  ― На досмотр, ― объяснила Света и потянула к"
1054,ОПЕРНЫЙ СПЕКТАКЛЬ,МУЗЫКАЛЬНЫЙ СПЕКТАКЛЬ,получил поставленный в Екатеринбурге оригинальный оперный спектакль по этой повести Диккенса,получил поставленный в Екатеринбурге оригинальный музыкальный спектакль по этой повести Диккенса
1055,ОПЕРЕТТА,МУЗЫКАЛЬНЫЙ СПЕКТАКЛЬ,получил поставленный в Екатеринбурге оригинальный оперетта по этой повести Диккенса,получил поставленный в Екатеринбурге оригинальный музыкальный спектакль по этой повести Диккенса
1056,МЮЗИКЛ,МУЗЫКАЛЬНЫЙ СПЕКТАКЛЬ,получил поставленный в Екатеринбурге оригинальный мюзикл по этой повести Диккенса,получил поставленный в Екатеринбурге оригинальный музыкальный спектакль по этой повести Диккенса
1057,БАЛЕТНЫЙ СПЕКТАКЛЬ,МУЗЫКАЛЬНЫЙ СПЕКТАКЛЬ,получил поставленный в Екатеринбурге оригинальный балетный спектакль по этой повести Диккенса,получил поставленный в Екатеринбурге оригинальный музыкальный спектакль по этой повести Диккенса
1061,КОНСЕРВНАЯ ПРОМЫШЛЕННОСТЬ,ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ,"  ― Машиностроение, лёгкая и консервная промышленность, производство стройматериалов, сельское хозяйство","  ― Машиностроение, лёгкая и пищевая промышленность, производство стройматериалов, сельское хозяйство"
1062,МЯСНАЯ ПРОМЫШЛЕННОСТЬ,ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ,"  ― Машиностроение, лёгкая и мясная промышленность, производство стройматериалов, сельское хозяйство","  ― Машиностроение, лёгкая и пищевая промышленность, производство стройматериалов, сельское хозяйство"
1063,МОЛОЧНАЯ ПРОМЫШЛЕННОСТЬ,ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ,"  ― Машиностроение, лёгкая и молочная промышленность, производство стройматериалов, сельское хозяйство","  ― Машиностроение, лёгкая и пищевая промышленность, производство стройматериалов, сельское хозяйство"
1064,РЫБНАЯ ПРОМЫШЛЕННОСТЬ,ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ,"  ― Машиностроение, лёгкая и рыбная промышленность, производство стройматериалов, сельское хозяйство","  ― Машиностроение, лёгкая и пищевая промышленность, производство стройматериалов, сельское хозяйство"
1065,ХЛЕБОПЕКАРНАЯ ПРОМЫШЛЕННОСТЬ,ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ,"  ― Машиностроение, лёгкая и хлебопекарная промышленность, производство стройматериалов, сельское хозяйство","  ― Машиностроение, лёгкая и пищевая промышленность, производство стройматериалов, сельское хозяйство"
1066,МУКОМОЛЬНО-КРУПЯНАЯ ПРОМЫШЛЕННОСТЬ,ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ,"  ― Машиностроение, лёгкая и мукомольно-крупяная промышленность, производство стройматериалов, сельское хозяйство","  ― Машиностроение, лёгкая и пищевая промышленность, производство стройматериалов, сельское хозяйство"
1067,САХАРНАЯ ПРОМЫШЛЕННОСТЬ,ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ,"  ― Машиностроение, лёгкая и сахарная промышленность, производство стройматериалов, сельское хозяйство","  ― Машиностроение, лёгкая и пищевая промышленность, производство стройматериалов, сельское хозяйство"
1068,ЛИКЕРОВОДОЧНАЯ ПРОМЫШЛЕННОСТЬ,ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ,"  ― Машиностроение, лёгкая и ликероводочная промышленность, производство стройматериалов, сельское хозяйство","  ― Машиностроение, лёгкая и пищевая промышленность, производство стройматериалов, сельское хозяйство"
1069,ПИЩЕВКУСОВАЯ ПРОМЫШЛЕННОСТЬ,ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ,"  ― Машиностроение, лёгкая и пищевкусовая промышленность, производство стройматериалов, сельское хозяйство","  ― Машиностроение, лёгкая и пищевая промышленность, производство стройматериалов, сельское хозяйство"
1070,МАСЛОЖИРОВАЯ ПРОМЫШЛЕННОСТЬ,ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ,"  ― Машиностроение, лёгкая и масложировая промышленность, производство стройматериалов, сельское хозяйство","  ― Машиностроение, лёгкая и пищевая промышленность, производство стройматериалов, сельское хозяйство"
1071,МАЛЫЙ БИЗНЕС,МАЛОЕ И СРЕДНЕЕ ПРЕДПРИНИМАТЕЛЬСТВО,"этом совершенно очевидно, что отечественное малый бизнес с накопленным","этом совершенно очевидно, что отечественное малое и среднее предпринимательство с накопленным"
1072,СОСТОЯНИЕ ШОКА,РЕАКЦИЯ ОРГАНИЗМА,была тогда ещё не осознанная состояние шока на пошлость и несправедливость,была тогда ещё не осознанная реакция организма на пошлость и несправедливость
1073,"РЕФЛЕКС, РЕФЛЕКТОРНАЯ РЕАКЦИЯ",РЕАКЦИЯ ОРГАНИЗМА,"была тогда ещё не осознанная рефлекс, рефлекторная реакция на пошлость и несправедливость",была тогда ещё не осознанная реакция организма на пошлость и несправедливость
1074,ОТТОРЖЕНИЕ ПЕРЕСАЖЕННЫХ ТКАНЕЙ И ОРГАНОВ,РЕАКЦИЯ ОРГАНИЗМА,была тогда ещё не осознанная отторжение пересаженных тканей и органов на пошлость и несправедливость,была тогда ещё не осознанная реакция организма на пошлость и несправедливость
1075,МЕТЕОЧУВСТВИТЕЛЬНОСТЬ,РЕАКЦИЯ ОРГАНИЗМА,была тогда ещё не осознанная метеочувствительность на пошлость и несправедливость,была тогда ещё не осознанная реакция организма на пошлость и несправедливость
1076,РАЗВЯЗНЫЙ,БЕСЦЕРЕМОННЫЙ,"и живёт перед вами― крикливый, развязный до дерзости и в то","и живёт перед вами― крикливый, бесцеремонный до дерзости и в то"
1080,ЗАХВАТ МОРСКОГО СУДНА,РАЗБОЙ,"собственности и личности: кража, грабёж, захват морского судна и убийство. ","собственности и личности: кража, грабёж, разбой и убийство. "
1081,УЛЫБКА,МИМИКА ЛИЦА,"пустынной улице, так же как улыбка и жест человека по","пустынной улице, так же как мимика лица и жест человека по"
1082,"ИСКАЗИТЬ ЛИЦО, ВНЕШНОСТЬ",МИМИКА ЛИЦА,"пустынной улице, так же как исказить лицо, внешность и жест человека по","пустынной улице, так же как мимика лица и жест человека по"
1083,"КРИВЛЯТЬСЯ, ЛОМАТЬСЯ",МИМИКА ЛИЦА,"пустынной улице, так же как кривляться, ломаться и жест человека по","пустынной улице, так же как мимика лица и жест человека по"
1084,ПОДМИГНУТЬ (ПОДАТЬ ЗНАК),МИМИКА ЛИЦА,"пустынной улице, так же как подмигнуть (подать знак) и жест человека по","пустынной улице, так же как мимика лица и жест человека по"
1087,ОГРАНИЧЕНИЕ ПРАВ ГРАЖДАН,ОГРАНИЧИТЬ, Ограничить объём возмещения вреда может только, Ограничить объём возмещения вреда может только
1088,"РЕГУЛИРОВАТЬ, УПОРЯДОЧИВАТЬ",ОГРАНИЧИТЬ, Ограничить объём возмещения вреда может только, Ограничить объём возмещения вреда может только
1089,ЛОКАЛИЗОВАТЬ РАСПРОСТРАНЕНИЕ,ОГРАНИЧИТЬ, Ограничить объём возмещения вреда может только, Ограничить объём возмещения вреда может только
1090,ЛИМИТИРОВАТЬ,ОГРАНИЧИТЬ, Ограничить объём возмещения вреда может только, Ограничить объём возмещения вреда может только
1091,ПРИТЕСНИТЬ,ОГРАНИЧИТЬ, Ограничить объём возмещения вреда может только, Ограничить объём возмещения вреда может только
1092,"УЩЕМИТЬ (ОГРАНИЧИТЬ, СТЕСНИТЬ)",ОГРАНИЧИТЬ, Ограничить объём возмещения вреда может только, Ограничить объём возмещения вреда может только
1093,ПОДЧИНИТЬ СВОЕЙ ВЛАСТИ,ОГРАНИЧИТЬ, Ограничить объём возмещения вреда может только, Ограничить объём возмещения вреда может только
1094,СКОВАТЬ ДЕЙСТВИЯ,ОГРАНИЧИТЬ, Ограничить объём возмещения вреда может только, Ограничить объём возмещения вреда может только
